,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Time,season,Attendance
145,145,E0,06/11/94,Arsenal,Sheffield Weds,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
146,146,E0,06/11/94,Aston Villa,Man United,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
147,147,E0,06/11/94,Chelsea,Coventry,2,2,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
148,148,E0,07/11/94,Nott'm Forest,Newcastle,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
149,149,E0,09/11/94,Liverpool,Chelsea,3,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
150,150,E0,09/11/94,Wimbledon,Aston Villa,4,3,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
151,151,E0,10/11/94,Man United,Man City,5,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
152,152,E0,19/11/94,Coventry,Norwich,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
153,153,E0,19/11/94,Ipswich,Blackburn,1,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
154,154,E0,19/11/94,Man United,Crystal Palace,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
155,155,E0,19/11/94,Nott'm Forest,Chelsea,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
156,156,E0,19/11/94,QPR,Leeds,3,2,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
157,157,E0,19/11/94,Sheffield Weds,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
158,158,E0,19/11/94,Southampton,Arsenal,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
159,159,E0,19/11/94,Tottenham,Aston Villa,3,4,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
160,160,E0,19/11/94,Wimbledon,Newcastle,3,2,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
161,161,E0,20/11/94,Leicester,Man City,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
162,162,E0,21/11/94,Everton,Liverpool,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
163,163,E0,23/11/94,Leicester,Arsenal,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
